Ámbito,Área,Elemento,Producto,Año,Unidad,Valor
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1961","gigagramos","5472.4125"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1962","gigagramos","5241.5084"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1963","gigagramos","5006.232"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1964","gigagramos","5063.856"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1965","gigagramos","5121.48"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1966","gigagramos","5062.68"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1967","gigagramos","5002.704"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1968","gigagramos","5003.88"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1969","gigagramos","5002.704"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1970","gigagramos","5049.744"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1971","gigagramos","5188.512"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1972","gigagramos","5292.2352"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1973","gigagramos","5534.256"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1974","gigagramos","5629.1592"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1975","gigagramos","5856.8328"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1976","gigagramos","6468.8232"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1977","gigagramos","6736.0104"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1978","gigagramos","6740.244"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1979","gigagramos","6607.1208"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1980","gigagramos","6783.6384"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1981","gigagramos","7356.3316"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1982","gigagramos","7602.479"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1983","gigagramos","7716.5463"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1984","gigagramos","7882.5728"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1985","gigagramos","8067.5952"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1986","gigagramos","8291.7584"
"Fermentación entérica","Paraguay","Emisiones (CO2eq) (Entérica)","Vacunos, otros","1987","gigagramos","8552.1883"
